Player,Batting_Rating,Bowling_Rating,Fielding_Rating,Overall_Rating,Role
Daryl Mitchell,8.42,9.2,4.29,8.32,All-rounder
Matthew Short,9.35,7.66,4.62,8.2,All-rounder
Dewald Brevis,9.56,7.35,4.31,8.15,All-rounder
Ashton Turner,8.39,8.85,3.57,8.09,All-rounder
K.S Bharat,8.68,0.0,10.0,8.08,Batter
Tom Curran,8.59,8.74,1.27,7.92,All-rounder
Jimmy Neesham,7.79,8.93,3.64,7.83,All-rounder
Jason Holder,7.75,8.95,3.61,7.82,All-rounder
Keemo Paul,6.87,10.0,3.61,7.8,All-rounder
Finn Allen,10.0,0.0,3.91,7.78,Batter
William Sutherland,8.12,8.0,4.66,7.73,All-rounder
Wiaan Mulder,7.94,8.39,3.64,7.69,All-rounder
Dasun Shanaka,7.81,8.64,3.14,7.67,All-rounder
Chris Jordan,7.64,8.69,3.59,7.65,All-rounder
Tymal Mills,4.7,9.4,0.79,7.6,Bowler
Dan Lawrence,8.21,7.98,2.92,7.59,All-rounder
Johnson Charles,8.92,7.57,2.96,7.59,Batter
Andre Fletcher,8.7,7.93,3.49,7.58,Batter
Matthew Forde,7.6,8.63,2.74,7.52,All-rounder
Michael Bracewell,7.49,8.34,4.39,7.52,All-rounder
Tim Seifert,8.86,0.0,6.49,7.5,Batter
Cooper Connolly,8.73,7.19,2.33,7.47,All-rounder
Alex Carey,8.07,0.0,9.04,7.45,Batter
Rilee Rossouw,9.14,4.19,3.03,7.42,Batter
James Vince,9.0,0.0,5.58,7.41,Batter
Sikandar Raza,8.26,7.33,3.14,7.38,All-rounder
Kusal Mendis,8.61,0.0,6.73,7.37,Batter
Litton Das,7.93,0.0,8.98,7.35,Batter
Tanzim Hasan Sakib,4.16,8.84,3.17,7.34,Bowler
Gus Atkinson,3.73,9.16,1.74,7.33,Bowler
Ben Duckett,9.25,0.0,4.18,7.31,Batter
Kyle Mayers,8.21,7.47,2.06,7.3,All-rounder
Shivam Mavi,7.43,8.17,2.88,7.27,All-rounder
Sean Abbott,6.49,9.13,3.44,7.24,All-rounder
Junior Dala,4.74,8.84,1.03,7.24,Bowler
Naveen Ul Haq,4.41,8.88,1.29,7.22,Bowler
Riley Meredith,4.35,8.83,1.24,7.18,Bowler
Mark Chapman,8.11,7.56,3.6,7.16,Batter
Navdeep Saini,3.5,8.72,2.65,7.07,Bowler
Adam Milne,4.84,8.53,1.2,7.06,Bowler
Wayne Parnell,6.14,9.29,2.64,7.05,All-rounder
Dwaine Pretorius,6.72,8.74,1.69,7.03,All-rounder
Obed McCoy,3.5,8.95,0.55,7.02,Bowler
Rishad Hossain,6.55,8.4,3.8,7.01,All-rounder
Olly Stone,3.57,8.61,2.5,6.99,Bowler
"Sediqullah Atal,",9.2,0.0,2.64,6.97,Batter
Shai Hope,8.57,0.0,4.81,6.96,Batter
Tom Banton,8.55,0.0,4.71,6.93,Batter
Shoriful Islam,3.31,8.79,1.02,6.92,Bowler
Towhid Hridoy,8.08,7.54,2.5,6.91,Batter
Josh Little,4.15,8.36,2.3,6.91,Bowler
Jhye Richardson,3.8,8.51,1.46,6.86,Bowler
Shakib Al Hasan,7.87,7.01,0.99,6.84,All-rounder
Charith Asalanka,7.29,7.46,1.85,6.82,All-rounder
Harry Tector,7.08,6.66,6.03,6.81,All-rounder
Dilshan Madushanka,1.75,9.04,0.91,6.77,Bowler
"Kusal Perera,",9.06,0.0,2.12,6.77,Batter
Jonny Bairstow,8.72,0.0,3.35,6.77,Batter
Prithvi Shaw,9.19,0.0,1.64,6.76,Batter
Sam Billings,7.73,0.0,6.68,6.75,Batter
James Anderson,1.86,8.84,1.9,6.75,Bowler
Josh Philippe,6.96,0.0,9.27,6.72,Batter
Jason Behrendorff,4.18,8.2,1.32,6.71,Bowler
"Nqabayomzi Peter,",6.42,8.02,2.64,6.68,All-rounder
Qais Ahmad,6.19,8.1,3.38,6.67,All-rounder
Ashton Agar,6.75,7.17,3.86,6.63,All-rounder
Matt Henry,5.95,8.22,3.53,6.62,All-rounder
David Warner,8.44,0.0,3.47,6.6,Batter
William O'Rourke,6.98,7.92,4.24,6.53,Batter
Mohammad Nabi,6.72,6.9,3.75,6.5,All-rounder
Roston Chase,6.85,7.16,1.93,6.48,All-rounder
Matthew Potts,5.33,8.79,3.04,6.48,All-rounder
Luke Wood,5.62,8.51,2.54,6.47,All-rounder
Zak Foulkes,6.21,8.07,0.81,6.42,All-rounder
Hasan Mahmud,3.4,7.85,2.43,6.42,Bowler
Kyle Verreynne,7.94,0.0,4.2,6.4,Batter
Tom Latham,8.0,0.0,4.02,6.4,Batter
Nandre Burger,1.82,8.24,2.27,6.36,Bowler
Alzarri Joseph,5.21,8.88,2.03,6.36,All-rounder
Vijayakanth Viyaskanth,4.24,7.49,2.27,6.32,Bowler
Gudakesh Motie,6.11,7.69,1.76,6.31,All-rounder
Tanveer Sangha,2.13,8.16,1.64,6.3,Bowler
Rassie Van Der Dussen,8.39,0.0,1.99,6.27,Batter
Dushan Hemantha,6.24,7.21,2.71,6.27,All-rounder
David Payne,5.8,7.9,1.87,6.25,All-rounder
Ibrahim Zadran,7.45,2.87,3.77,6.25,Batter
Mustafizur Rahman,3.06,7.89,1.07,6.24,Bowler
Nahid Rana,0.0,8.41,3.44,6.23,Bowler
Ottneil Baartman,1.44,8.31,1.2,6.23,Bowler
Keshav Maharaj,3.62,7.53,2.19,6.22,Bowler
Pathum Nissanka,8.54,0.0,1.16,6.21,Batter
Tim Southee,5.09,8.29,3.35,6.2,All-rounder
Waqar Salamkheil,1.67,8.35,0.0,6.18,Bowler
Brandon King,8.09,0.0,2.58,6.18,Batter
Richard Gleeson,1.4,8.3,0.67,6.16,Bowler
Ollie Pope,7.31,0.0,5.23,6.16,Batter
Kane Williamson,7.58,0.0,4.07,6.12,Batter
Tabraiz Shamsi,1.97,8.08,0.31,6.08,Bowler
Mahedi Hasan,6.07,7.11,2.01,6.08,All-rounder
Hilton Cartwright,7.33,0.0,4.6,6.05,Batter
Kyle Jamieson,5.55,7.63,2.23,6.05,All-rounder
Dunith Wellalage,5.59,7.25,3.02,6.0,All-rounder
Mikyle Louis,7.95,0.0,1.78,5.92,Batter
Akeal Hosein,5.62,7.4,1.05,5.88,All-rounder
Adil Rashid,5.13,7.83,1.37,5.84,All-rounder
Evin Lewis,7.68,0.0,2.19,5.82,Batter
Nangeyalia Kharote,5.84,6.41,1.9,5.67,All-rounder
Daniel Worrall,1.87,7.39,1.11,5.66,Bowler
Mujeeb Ur Rahman,5.43,7.18,0.67,5.65,All-rounder
Bhanuka Rajapaksa,7.56,0.0,1.52,5.59,Batter
Blessing Muzarabani,2.07,7.17,0.64,5.5,Bowler
Alick Athanaze,6.88,0.0,3.2,5.45,Batter
Sarfaraz Khan,6.75,0.0,3.2,5.36,Batter
Will Young,6.59,0.0,2.74,5.16,Batter
Chris Benjamin ,6.15,0.0,3.68,5.04,Batter
Sandeep Warrier,2.63,9.01,2.71,3.29,Batter
Chetan Sakariya,2.63,9.01,2.71,3.29,Batter
Ben Dwarshuis,8.04,8.36,,,All-rounder
Chris Green,7.51,7.39,,,All-rounder
