Player,Mat,Runs,HS,Bat Av,100,Wkts,Bowl Av,5,Ct,St,Ave Diff,Cap/Uncapped,Role,Base Price
Devdutt Padikkal,55,1224,124,24.48,1,-,-,-,20,0,, Capped , Batsman ,"2,00,00,000.00"
Prithvi Shaw,44,1078,134,25.06,1,-,-,-,12,0,-, Capped , Batsman ,"75,00,000.00"
Mayank Agarwal,31,742,83,24.73,0,-,-,-,18,0,-, Capped , Batsman ,"1,00,00,000.00"
Anmolpreet Singh,25,752,113,34.18,1,-,-,-,18,0,-, Uncapped , Batsman ,"30,00,000.00"
Daryl Mitchell,106,2362,85,30.67,0,23,29.73,0,57,0,0.93, Capped , All-Rounder ,"2,00,00,000.00"
K.S Bharat,14,457,93,41.54,0,-,-,-,15,1,-, Capped , Wicket Keeper ,"75,00,000.00"
Dewald Brevis,75,1880,162,30.81,2,7,20.71,0,40,0,10.1, Uncapped , Batsman ,"75,00,000.00"
Shardul Thakur,39,156,68,12,0,40,31.8,0,12,0,-19.79, Capped , All-Rounder ,"2,00,00,000.00"
Krishnappa Gowtham,14,120,30,30,0,13,23.53,0,7,0,6.46, Capped , All-Rounder ,"1,00,00,000.00"
Ashton Turner,96,1773,84,29.55,0,11,38.18,0,45,0,-8.63, Capped , Batsman ,"1,00,00,000.00"
Tom Curran,82,1101,67,22.93,0,70,24.72,0,15,0,-1.79, Capped , All-Rounder ,"2,00,00,000.00"
Utkarsh Singh,7,184,54,30.66,0,4,27.75,0,2,0,2.91, Uncapped , All-Rounder ,"30,00,000.00"
Yash Dhull,21,502,59,33.46,0,0,-,0,4,0,-, Uncapped , Batsman ,"30,00,000.00"
Luvnith Sisodia,1,6,6,6,0,-,-,-,1,0,-, Uncapped , Wicket Keeper ,"30,00,000.00"
Matthew Short,84,2429,109,31.54,2,44,25.18,1,47,0,6.36, Capped , All-Rounder ,"75,00,000.00"
Jimmy Neesham,103,1571,97,22.12,0,91,22.61,1,49,0,-0.48, Capped , All-Rounder ,"1,50,00,000.00"
Jason Holder,117,1307,63,23.33,0,139,27.23,0,54,0,-3.89, Capped , All-Rounder ,"2,00,00,000.00"
Keemo Paul,55,603,56,17.73,0,18,37.77,0,26,0,-20.04, Capped , All-Rounder ,"1,25,00,000.00"
