Nationality,Players,matches,bat_inns,NO,runs_scored,HS,batting Average,balls_faced,Strike Rate,hundred,Fifties,Zero,Fours,Sixes,bowl_inngs,Balls,Mdns,Runs_against,wickets,bowling Avg,Econ,bowl_sr,4,5,Dismissal,catches,stumps,Ct_wk,Ct_fi,D/I,Overall,Batting,Bowling,Fielding,Role
International,Daryl Mitchell,115,107,21,2651,85*,30.82,1904,139.23,0,16,3,182,97,37,447,,732,24,30.5,9.82,18.6,0,0,63,63,0,0,63,0.562,8.32,8.42,9.2,4.29,All-rounder
,Matthew Short,72,70,4,2031,109,30.77,1317,154.21,2,13,6,189,95,53,714,,945,37,25.54,7.94,19.2,0,1,42,42,0,0,42,0.583,8.2,9.35,7.66,4.62,All-rounder
,Dewald Brevis,80,75,9,2025,162,30.68,1263,160.33,2,11,7,127,153,16,31,,233,12,19.41,7.51,15.5,0,0,44,44,0,0,44,0.550,8.15,9.56,7.35,4.31,All-rounder
,Ashton Turner,96,88,28,1773,84*,29.55,1230,144.14,0,7,5,142,55,33,310,0,420,62,38.18,8.12,28.1,0,0,45,45,0,0,45,0.469,8.09,8.39,8.85,3.57,All-rounder
,Tom Curran,92,75,22,1251,67*,23.6,797,156.96,0,3,8,120,54,69,1330,,1956,73,26.79,8.82,18.2,2,0,20,20,0,0,20,0.219,7.92,8.59,8.74,1.27,All-rounder
,Jimmy Neesham,107,95,22,1613,97*,22.09,1138,141.73,0,6,7,141,73,83,1367,,2052,90,22.8,9,15.1,1,1,51,51,0,0,51,0.495,7.83,7.79,8.93,3.64,All-rounder
,Jason Holder,150,112,39,1637,63,22.42,1145,142.96,0,2,10,101,103,149,527,2,4710,175,26.91,8.93,18,7,0,71,71,0,0,71,0.473,7.82,7.75,8.95,3.61,All-rounder
,Keemo Paul,55,46,12,603,56,17.73,461,130.8,0,1,3,39,38,31,375,0,680,18,37.77,10.85,20.8,0,0,26,26,0,0,26,0.481,7.8,6.87,10,3.61,All-rounder
,Finn Allen,110,108,3,2878,151,27.4,1665,172.85,4,15,9,242,206,0,0,,0,0,0,0,0,0,0,55,54,1,7,47,0.509,7.78,10,0,3.91,Batter
,William Sutherland,34,31,12,513,70,27,355,144.5,0,2,1,29,23,31,610,2,850,23,36.95,8.34,26.5,0,0,20,20,0,0,20,0.588,7.73,8.12,8,4.66,All-rounder
National,Anmolpreet Singh,34,28,2,879,113,33.8,571,153.94,1,5,1,97,28,,0,,,,,,,,,20,20,0,1,19,0.588,8.12,10,0,5.58,Batter
,Krishnappa Gowtham,25,13,6,124,30*,17.71,74,167.56,0,0,1,9,8,,468,1,517,26,19.88,6.62,18,0,0,11,11,0,0,11,0.458,7.15,7.59,10,4.17,Bowler
,K.S Bharat,20,20,3,523,93*,30.76,382,136.91,0,5,1,52,20,,0,,,,,,,,,19,16,3,16,0,0.95,7.13,7.33,0,10,Batter
,Prithvi Shaw,45,45,1,1116,134,25.36,700,159.42,1,5,5,141,47,,0,0,0,0,0,0,0,0,0,13,13,0,0,13,0.288,6.89,9.06,0,2.74,Batter
,Utkarsh Singh,7,7,1,184,54,30.66,126,146.03,0,1,0,26,4,6,114,0,111,4,27.75,5.84,28.5,0,0,2,2,0,0,2,0.285,6.56,8.32,1.97,2.71,Batter
,Yash Dhull,28,27,5,826,73,41.3,665,124.41,0,5,2,86,26,1,6,0,5,0,0,5,0,0,0,7,7,0,0,7,0.25,5.89,7.52,1.51,2.37,Batter
,Devdutt Padikkal,55,55,5,1224,124*,24.48,950,128.84,1,6,5,134,42,,0,,,,,,,,,20,20,0,0,20,0.363,4.48,5.41,0,3.45,Batter
,Luvnith Sisodia,8,5,0,79,36,15.8,65,121.53,0,0,0,10,2,,0,,,,,,,,,7,6,1,6,0,0.875,3.97,3.07,0,9.12,Batter
,Mayank Agarwal,51,50,3,1095,83,23.29,819,133.69,0,4,3,125,35,,468,,,,,,,,,31,31,0,0,31,0.607,5.19,5.77,0,5.76,Batter
,Shardul Thakur,43,25,7,258,68,14.33,180,143.33,0,1,2,22,12,43,726,1,1370,42,32.61,10.07,19.94,2,0,15,15,0,0,15,0.348,3.58,4.7,3.29,3.31,Bowler
